Rank,soc_7,occ_name,group,SV,MDI,TI_gnn,DR,NSII_final,NSII_phase2,delta_NSII,nsii_quality
1,15-2051,Data Scientists,RESKILLING_TARGETS,1.0,0.4649530434616457,0.8443968,0.9695892122028172,655.1,576.0,79.1,TI-proxy+DR-exposure
2,51-1011,Production Supervisors,MIDWEST_MFG,0.23406130534980832,0.7078143807809982,0.8269204,0.3159542575965135,591.9,491.3,100.6,Standard
3,11-3051,Production Managers,MIDWEST_MFG,0.3174897094353359,0.6479464861571076,0.82211566,0.39361853389194124,586.1,461.7,124.4,Standard
4,11-9041,Architectural/Eng. Managers,RESKILLING_TARGETS,0.23264994689628532,0.640488673817224,0.9381759,0.4262285477601795,582.6,500.6,82.0,Standard
5,43-1011,Office Supervisors,AI_DISPLACED,0.19224979820113763,0.6912040622119844,0.8385104,0.44875250291744284,557.4,460.5,96.9,Standard
6,11-2021,Marketing Managers,RESKILLING_TARGETS,0.40111521034728287,0.48010709281341984,0.81195474,0.4816707801867405,545.1,528.0,17.1,Standard
7,17-3026,Industrial Eng. Technicians,MIDWEST_MFG,0.23820628282636583,0.4206167699906871,0.9844948,0.4057664698259608,532.9,441.0,91.9,Standard
8,17-2112,Industrial Engineers,MIDWEST_MFG,0.28971358580912904,0.46117437528703265,0.905729,0.4680671273569945,531.5,492.2,39.3,Standard
9,13-1161,Market Research Analysts,RESKILLING_TARGETS,0.32090136345210635,0.5322885396286848,0.93031144,0.7929795349558408,519.6,514.6,5.0,Standard
10,43-4051,Customer Service Reps,AI_DISPLACED,0.15283511925207516,0.6920642106412666,0.8620472,0.7069326609928867,512.9,423.1,89.8,Standard
11,17-2061,Computer Hardware Engineers,RESKILLING_TARGETS,0.2488829415711393,0.5118712078249711,0.8450866,0.5640367009645112,504.9,412.6,92.3,Standard
12,13-2011,Accountants,AI_DISPLACED,0.25649099434028866,0.5694300923780605,1.0,0.9645548757882381,503.1,431.7,71.4,Standard
13,29-2011,Medical Lab Technologists,RESKILLING_TARGETS,0.21700138753639872,0.7231921577209778,0.728135,0.801592309486985,493.9,398.4,95.5,Standard
14,15-2031,Operations Research Analysts,RESKILLING_TARGETS,0.2317542411964008,0.40975886219538427,0.8406924,0.5022946061014086,477.3,461.9,15.4,Standard
15,53-7051,Industrial Truck Operators,AI_DISPLACED,0.32591146495106493,0.599933854981088,0.50790304,0.6164104480362579,462.3,411.1,51.2,Standard
16,17-2141,Mechanical Engineers,MIDWEST_MFG,0.15301603578078266,0.5138152424661084,0.69843256,0.44320490230612697,458.2,376.8,81.4,Standard
17,51-4081,Multiple Machine Tool Setters,MIDWEST_MFG,0.12368278297911164,0.6228285425094601,0.73617864,0.68455716892391,455.3,397.9,57.4,Standard
18,51-9061,Inspectors/Testers,AI_DISPLACED,0.2026147083118862,0.44427762922526076,0.90330607,0.804528371486202,449.2,367.0,82.2,Standard
19,41-2031,Retail Salespersons,AI_DISPLACED,0.12158210193381287,0.5914548173467209,0.6327247,0.7884233666287251,403.8,352.7,51.1,Standard
20,15-1211,Computer Systems Analysts,RESKILLING_TARGETS,0.10035447551522482,0.4523532211516228,0.9008711,0.9214954404375312,402.8,334.6,68.2,DR-exposure
21,51-2041,Metal Fabricators,MIDWEST_MFG,0.0,0.37415082247383047,0.7255193,0.39481292097183085,384.4,311.9,72.5,Standard
22,15-1231,Network Support Specialists,RESKILLING_TARGETS,0.0653710470307234,0.3647045435625519,0.9088675,0.8233187249746406,382.7,331.9,50.8,DR-exposure
23,43-5061,Production Planners,AI_DISPLACED,0.21038828391919573,0.2347124113044562,0.8757105,0.841397082639619,376.2,331.0,45.2,Standard
24,23-2011,Paralegals,AI_DISPLACED,0.24783422219749002,0.20966139304650352,0.90361685,0.941933744981284,371.9,281.8,90.1,Standard
25,15-1244,Network Administrators,RESKILLING_TARGETS,0.13261957960534135,0.3520169429210121,0.7265202,0.824145636711997,353.4,298.0,55.4,DR-exposure
26,15-1252,Software Developers,RESKILLING_TARGETS,0.36823897962418267,0.36416701639055216,0.48058096,0.9221560835697704,351.5,301.4,50.1,SV-proxy+DR-exposure
27,43-3031,Bookkeeping Clerks,AI_DISPLACED,0.16890740813520747,0.2658632157163549,0.82510996,0.9318788899284969,346.9,291.9,55.0,Standard
28,43-9061,Office Clerks,AI_DISPLACED,0.102944964591871,0.32713729778153194,0.79955983,0.9158215571604443,341.5,278.2,63.3,Standard
29,51-4041,Machinists,MIDWEST_MFG,0.05843392132778858,0.36419096511292925,0.5404517,0.5396797738578581,330.9,263.5,67.4,Standard
30,51-4121,Welders,MIDWEST_MFG,0.20666321790672523,0.029677570879160474,0.73334247,0.6453648962934739,307.4,232.6,74.8,Standard
31,49-9041,Machinery Mechanics,MIDWEST_MFG,0.23551357736423756,0.4592893920847006,0.0,0.5180385295310723,280.7,365.8,-85.1,Standard
